_id.courseId,_id.sectionId,_id.unitId,total_time
20,1,1,24346
20,1,2,20562
20,1,3,8433
20,1,7,0
20,2,1,93069
26,1,1,18482793
26,1,2,31478603
26,1,3,375428
26,1,4,686662
26,1,5,566410
26,1,6,432641
26,1,7,496796
26,2,1,4145208
26,2,10,297159
26,2,2,421300
26,2,3,273861
26,2,4,1066262
26,2,5,11799184
26,2,6,609568
26,2,7,1978274
26,2,8,33837761
26,2,9,10045004
26,3,1,9957195
26,3,2,390365
26,3,3,124379
26,4,1,11374793
26,4,10,145053
26,4,11,171109
26,4,12,8614078
26,4,13,163481
26,4,14,197495
26,4,15,7290423
26,4,16,190206
26,4,17,158306
26,4,2,11401971
26,4,3,351932
26,4,4,963655
26,4,5,335371
26,4,6,263739
26,4,7,344286
26,4,8,176812618
26,4,9,424440
26,5,1,1399790
26,5,2,123332
26,5,3,1376272
26,5,4,86994
26,5,5,221735
26,6,1,11871674
26,6,2,153650
26,6,3,94153
26,7,1,956118
28,1,1,180369210
28,1,10,24457973
28,1,11,25547164
28,1,12,148134785
28,1,13,13636893
28,1,14,167718275
28,1,15,57915626
28,1,2,113538975
28,1,3,243362587
28,1,4,89990525
28,1,5,9660412
28,1,6,64948147
28,1,7,108251359
28,1,8,49971690
28,1,9,49785558
28,2,1,79939360
28,2,10,64787952
28,2,11,28707145
28,2,2,39138655
28,2,3,10296678
28,2,4,102500582
28,2,5,5754394
28,2,6,12575556
28,2,7,11446151
28,2,8,10464354
28,2,9,57005559
28,3,1,106309299
28,3,10,14672495
28,3,11,164673082
28,3,12,139040239
28,3,13,13834852
28,3,14,37313702
28,3,15,3235382
28,3,16,35753040
28,3,17,9284248
28,3,18,4377830
28,3,19,6202883
28,3,2,31297972
28,3,3,75564977
28,3,4,32210726
28,3,5,1710291
28,3,6,19672602
28,3,7,11814887
28,3,8,8783743
28,3,9,14085816
28,4,1,20387107
28,4,2,22707850
34,1,1,60310350
34,1,2,27262776
34,1,3,3133548
34,1,4,2771271
34,1,5,1437877
34,1,6,34130942
34,1,7,11386909
34,1,8,522720
34,2,1,26759041
34,2,2,104931916
34,2,3,675620
34,2,4,31237130
34,2,5,24296267
34,2,6,2330962
34,2,7,272851
34,2,8,34039931
34,2,9,529648
34,3,1,53429029
34,3,2,614022
34,3,3,487206
34,3,4,18809861
34,3,5,4454355
34,3,6,260928
34,4,1,13081125
34,4,10,3909203
34,4,11,166592
34,4,12,65065
34,4,13,190628
34,4,2,8039961
34,4,3,8605774
34,4,4,984705
34,4,5,3520928
34,4,6,339420
34,4,7,204076
34,4,8,143223
34,4,9,79350
34,5,1,3316346
34,5,2,256554
34,5,3,637537
34,5,4,946900
34,5,5,153051
34,5,6,117943
34,6,1,3553162
34,6,2,239312716
34,6,3,21406433
34,6,4,84536221
39,1,1,142428124
39,1,2,86824246
39,1,3,22295297
39,1,4,29584461
39,1,5,173273978
39,2,1,260962691
39,2,10,90380564
39,2,11,49416801
39,2,12,5813513
39,2,13,7039740
39,2,14,14017826
39,2,2,25955875
39,2,3,16247151
39,2,4,148737447
39,2,5,54137552
39,2,6,12313582
39,2,7,7045129
39,2,8,160425519
39,2,9,324397913
39,3,1,45236720
39,3,10,3333538
39,3,11,25854880
39,3,12,77427753
39,3,13,16310388
39,3,14,8681294
39,3,15,11549289
39,3,16,7549071
39,3,17,3770327
39,3,2,5726089
39,3,3,4867935
39,3,4,135351330
39,3,5,161072277
39,3,6,5440450
39,3,7,132197320
39,3,8,42566819
39,3,9,3255688
39,4,1,271835224
39,4,10,54747169
39,4,11,49380034
39,4,12,6096038
39,4,13,4684562
39,4,14,8945492
39,4,2,2487156
39,4,3,3747084
39,4,4,196003132
39,4,5,27511615
39,4,6,94296573
39,4,7,985850
39,4,8,778422
39,4,9,9955375
39,5,1,48555564
39,5,2,30870255
39,5,3,986910
39,5,4,1986096
39,5,5,71463904
39,5,6,990791
39,6,1,7735011
39,6,2,12486816
39,6,3,12516880
43,1,1,16337793
43,2,1,23308747
43,2,10,1689644
43,2,11,55899306
43,2,12,1644240
43,2,2,655724
43,2,3,358245
43,2,4,234990
43,2,5,10645660
43,2,6,3444054
43,2,7,7216450
43,2,8,67416448
43,2,9,1539629
43,3,1,45477930
43,3,10,4642523
43,3,11,7807183
43,3,12,10481794
43,3,13,426891
43,3,14,9521379
43,3,15,183919
43,3,16,107800
43,3,17,92707277
43,3,18,131673
43,3,19,168220
43,3,2,1424081
43,3,20,1833887
43,3,21,3441650
43,3,22,3998313
43,3,23,1273997
43,3,3,309253
43,3,4,285947
43,3,5,84561168
43,3,6,10627118
43,3,7,6025471
43,3,8,196661
43,3,9,6442020
43,4,1,11721954
43,4,10,270082
43,4,11,215661
43,4,12,40913303
43,4,13,3777369
43,4,14,67315594
43,4,15,278747
43,4,16,24040386
43,4,17,11439520
43,4,18,1814092
43,4,19,2379985
43,4,2,4835106
43,4,20,1846162
43,4,21,4034895
43,4,22,615654
43,4,3,596051
43,4,4,632949744
43,4,5,502996
43,4,6,220502
43,4,7,1153576
43,4,8,339443
43,4,9,8895808
43,5,1,16294701
43,5,2,745710
43,5,3,8209845
43,5,4,5230999
43,5,5,6481747
43,5,6,276592
43,5,7,108468
43,5,8,1373930
43,6,1,2852918
43,6,2,203456
43,6,3,299903
43,6,4,27497428
43,6,5,4311769
43,6,6,376038
43,7,1,75362761
43,7,2,111897465
43,7,3,1308461
43,7,4,1567777
43,7,5,14449905
43,7,6,771918
43,7,7,3386454
46,1,1,382267450
46,1,2,68887578
46,1,3,24536369
46,1,4,23657955
46,1,7,0
46,2,1,367391312
46,2,14,0
46,2,15,0
46,2,2,23511979
46,2,3,23072216
46,2,4,25462522
46,2,5,17196055
46,2,6,18168708
46,2,7,16069545
46,2,8,13794344
46,3,1,300109046
46,3,10,186766903
46,3,11,6982628
46,3,12,126592710
46,3,13,397205673
46,3,14,59463610
46,3,15,8960925
46,3,16,13616796
46,3,17,10464251
46,3,18,128643434
46,3,19,12356559
46,3,2,24188025
46,3,20,4089002
46,3,21,7321534
46,3,3,251351094
46,3,4,21647078
46,3,5,112315429
46,3,6,18472877
46,3,7,11612789
46,3,8,123464604
46,3,9,5327441
46,4,1,158811353
46,4,10,4866389
46,4,2,60291394
46,4,3,5060272
46,4,4,2210344
46,4,5,2394530
46,4,6,46182152
46,4,7,34360560
46,4,8,91005029
46,4,9,64084062
46',1,1,0
53,1,1,27887
53,1,2,9967
53,1,3,43258
53,1,4,2468
53,1,5,96422
53,1,6,17250
53,1,7,31164
53,1,8,3647
53,1,9,20602
53,2,1,24022
53,2,2,24015
53,2,3,88934
53,2,4,45814
53,2,5,78881
53,2,6,2841
54,1,1,24013121
54,1,10,35711069
54,1,11,171666486
54,1,12,36982490
54,1,13,247064107
54,1,14,5479362
54,1,2,20181548
54,1,3,3059212
54,1,4,1280936
54,1,5,606616
54,1,6,12478805
54,1,7,7211628
54,1,8,77176135
54,1,9,1146511
54,2,1,10894371
54,2,10,220963
54,2,11,565176
54,2,12,5569741
54,2,2,201884
54,2,3,443790
54,2,4,121084
54,2,5,14377061
54,2,6,8198144
54,2,7,178606
54,2,8,315352
54,2,9,6652515
54,3,1,4839654
54,3,10,90699061
54,3,11,738688
54,3,12,541591
54,3,13,18064929
54,3,14,2894344
54,3,15,368701
54,3,16,142446435
54,3,17,314049
54,3,18,1196178
54,3,2,441414
54,3,3,1308299
54,3,4,7515570
54,3,5,1376901
54,3,6,337796
54,3,7,78272332
54,3,8,6480639
54,3,9,1119722
54,4,1,10782002
54,4,2,43063476
54,4,3,1096803
54,4,4,313641
54,4,5,82640233
54,4,6,170482
54,4,7,130291
54,4,8,475714
54,5,1,1065207
54,5,10,1506919
54,5,11,3063322
54,5,12,7570703
54,5,13,2857539
54,5,14,2955729
54,5,15,3833175
54,5,16,1041790
54,5,17,1507611
54,5,2,31339777
54,5,3,9979561
54,5,4,704406
54,5,5,74005
54,5,6,3510878
54,5,7,4576150
54,5,8,4611669
54,5,9,24137581
55,1,1,45691732
55,1,10,15596049
55,1,11,80783833
55,1,12,197192319
55,1,13,15333046
55,1,14,7294066
55,1,15,4789476
55,1,16,1480300
55,1,17,23156999
55,1,18,50100269
55,1,19,1592144
55,1,2,79863032
55,1,20,9472367
55,1,21,2047940
55,1,3,35701500
55,1,4,4824425
55,1,5,4268888
55,1,6,1296440
55,1,7,212836350
55,1,8,66352057
55,1,9,89862758
55,2,1,26563445
55,2,10,83389538
55,2,11,9276997
55,2,12,8888745
55,2,13,33753980
55,2,14,50237660
55,2,15,2619546
55,2,16,3499328
55,2,2,1862241
55,2,3,79165666
55,2,4,60145549
55,2,5,16167189
55,2,6,34809813
55,2,7,13294187
55,2,8,22238319
55,2,9,36693461
55,3,1,22477734
55,3,10,2502262
55,3,11,1519653
55,3,12,14371780
55,3,13,43099446
55,3,14,17115186
55,3,15,635825
55,3,16,346073
55,3,17,1905055
55,3,2,822698
55,3,3,564347
55,3,4,15534135
55,3,5,17682719
55,3,6,481380
55,3,7,1064148
55,3,8,5113673
55,3,9,401560770
55,4,1,59302263
55,4,2,1118314
55,4,3,61709528
55,4,4,22832865
55,5,1,3712902
55,6,1,34751388
55,6,2,510243
55,6,3,411430
55,6,4,891391
55,6,5,4188146
55,6,6,2654018
55,7,1,302206648
55,7,2,91502089
55,7,3,351155
55,7,4,107829303
55,7,5,2644436
55,8,1,31056212
55,8,2,204879
55,8,3,779302
55,8,4,20485895
55,8,5,3276776
55,8,6,835996
55,8,7,872677
55,8,8,3315590
55,8,9,1363660
55,9,1,3989056
55,9,2,61417324
56,0,1,0
